Date, Open, High, Low, Close
06/23/23, 15600.70, 15600.70, 15449.75, 15469.35
06/22/23, 15657.00, 15657.00, 15564.33, 15600.70
06/21/23, 15648.92, 15706.78, 15578.30, 15657.00
06/20/23, 15795.12, 15795.12, 15605.84, 15648.92
06/16/23, 15826.35, 15904.20, 15786.44, 15795.12
06/15/23, 15642.73, 15855.09, 15633.56, 15826.35
06/14/23, 15667.79, 15746.12, 15573.40, 15642.73
06/13/23, 15548.47, 15701.50, 15548.47, 15667.79
06/12/23, 15499.91, 15560.46, 15483.04, 15548.47
06/09/23, 15502.65, 15557.31, 15478.09, 15499.91
06/08/23, 15469.63, 15517.23, 15416.70, 15502.64
06/07/23, 15391.80, 15486.21, 15382.53, 15469.63
06/06/23, 15275.21, 15403.40, 15260.72, 15391.80
06/05/23, 15345.19, 15353.09, 15258.92, 15275.21
06/02/23, 15031.08, 15365.69, 15031.08, 15345.19
06/01/23, 14887.14, 15069.94, 14872.28, 15031.09
05/31/23, 14994.64, 14994.64, 14810.57, 14887.14
05/30/23, 15078.69, 15087.97, 14951.16, 14994.64
05/26/23, 14975.97, 15119.16, 14975.97, 15078.69
05/25/23, 15022.89, 15022.89, 14898.70, 14975.97
05/24/23, 15172.27, 15172.27, 15006.28, 15022.89
05/23/23, 15318.85, 15319.11, 15161.47, 15172.27
05/22/23, 15324.32, 15387.76, 15271.22, 15318.85
05/19/23, 15345.43, 15421.80, 15283.70, 15324.32
05/18/23, 15313.92, 15361.74, 15214.00, 15345.43
05/17/23, 15129.25, 15338.47, 15129.25, 15313.92
05/16/23, 15322.56, 15322.56, 15128.62, 15129.25
05/15/23, 15246.36, 15343.64, 15228.80, 15322.56
05/12/23, 15263.07, 15319.64, 15167.78, 15246.36
05/11/23, 15349.17, 15349.17, 15176.64, 15263.07
05/10/23, 15352.81, 15441.99, 15228.42, 15349.17
05/09/23, 15391.27, 15393.16, 15297.09, 15352.81
05/08/23, 15380.87, 15448.71, 15353.68, 15391.27
05/05/23, 15117.67, 15419.57, 15117.67, 15380.87
05/04/23, 15233.85, 15233.85, 15055.43, 15117.67
05/03/23, 15314.57, 15421.47, 15227.66, 15233.85
05/02/23, 15535.89, 15535.89, 15189.25, 15314.57
05/01/23, 15545.88, 15622.56, 15525.90, 15535.89
04/28/23, 15431.64, 15560.01, 15371.45, 15545.88
04/27/23, 15228.58, 15443.06, 15228.58, 15431.64
04/26/23, 15363.53, 15363.53, 15201.10, 15228.58
04/25/23, 15606.71, 15606.71, 15361.57, 15363.53
04/24/23, 15578.93, 15623.04, 15557.73, 15606.71
04/21/23, 15582.94, 15597.45, 15512.62, 15578.93
04/20/23, 15653.62, 15653.62, 15533.33, 15582.94
04/19/23, 15684.96, 15684.96, 15594.23, 15653.62
04/18/23, 15668.34, 15710.47, 15634.46, 15684.96
04/17/23, 15601.77, 15668.96, 15573.36, 15668.34
04/14/23, 15630.89, 15707.81, 15531.13, 15601.78
04/13/23, 15500.93, 15650.84, 15498.94, 15630.89
04/12/23, 15520.92, 15668.36, 15485.50, 15500.93
04/11/23, 15427.18, 15567.28, 15427.18, 15520.92
04/10/23, 15379.13, 15427.30, 15297.78, 15427.18
04/06/23, 15368.26, 15400.75, 15323.18, 15379.13
04/05/23, 15374.11, 15419.65, 15304.06, 15368.26
04/04/23, 15487.75, 15510.28, 15307.95, 15374.11
04/03/23, 15374.91, 15514.92, 15374.91, 15487.75
03/31/23, 15200.59, 15377.01, 15200.59, 15374.91
03/30/23, 15123.96, 15254.76, 15123.96, 15200.59
03/29/23, 14949.35, 15128.77, 14949.35, 15123.96
03/28/23, 14894.85, 14986.99, 14892.20, 14949.35
03/27/23, 14758.57, 14955.72, 14758.57, 14894.85
